,WL,power
0,1.3e-06,-66.0200452
1,1.3000212e-06,-66.021552
2,1.3000424000000001e-06,-68.3030362
3,1.3000636000000002e-06,-69.4930378
4,1.3000848e-06,-68.7019392
5,1.300106e-06,-63.8795548
6,1.3001272e-06,-65.2287908
7,1.3001484e-06,-66.7859894
8,1.3001696000000001e-06,-68.0349774
9,1.3001908000000001e-06,-65.8785859
10,1.300212e-06,-66.0284228
11,1.3002332e-06,-65.6587069
12,1.3002544e-06,-66.5993669
13,1.3002756e-06,-68.6122356
14,1.3002968000000001e-06,-68.4274079
15,1.3003180000000001e-06,-67.7600842
16,1.3003392e-06,-65.6579369
17,1.3003604e-06,-64.768315
18,1.3003816e-06,-68.5250923
19,1.3004028e-06,-64.7962602
20,1.300424e-06,-65.629387
21,1.3004452000000001e-06,-64.7455384
22,1.3004664e-06,-60.5278049
23,1.3004876e-06,-60.3483778
24,1.3005088e-06,-58.0716558
25,1.30053e-06,-56.2249001
26,1.3005512e-06,-53.374597
27,1.3005724000000001e-06,-49.8898597
28,1.3005936e-06,-47.0634629
29,1.3006148e-06,-45.5152334
30,1.300636e-06,-45.5114202
31,1.3006572e-06,-47.0395535
32,1.3006784e-06,-49.1037092
33,1.3006996000000001e-06,-52.3472224
34,1.3007208e-06,-55.4244862
35,1.300742e-06,-56.9526407
36,1.3007632e-06,-59.6436555
37,1.3007844e-06,-60.2463718
38,1.3008056e-06,-61.2478842
39,1.3008268000000001e-06,-62.7768994
40,1.300848e-06,-64.3211167
41,1.3008692e-06,-64.1163773
42,1.3008904e-06,-65.5036312
43,1.3009116e-06,-65.7204465
44,1.3009328e-06,-64.0335909
45,1.3009540000000001e-06,-68.0556578
46,1.3009752e-06,-64.7924733
47,1.3009964e-06,-65.0050225
48,1.3010176e-06,-65.5375006
49,1.3010388e-06,-66.2123892
50,1.30106e-06,-66.3806025
51,1.3010812000000001e-06,-65.8067575
52,1.3011024e-06,-62.6242918
53,1.3011236e-06,-65.7911675
54,1.3011448e-06,-67.8230083
55,1.301166e-06,-67.3144701
56,1.3011872e-06,-64.5543432
57,1.3012084000000001e-06,-66.2882859
58,1.3012296e-06,-65.5021452
59,1.3012508e-06,-68.9038179
60,1.301272e-06,-65.5920651
61,1.3012932e-06,-64.3068772
62,1.3013144e-06,-64.049512
63,1.3013356000000001e-06,-62.3581291
64,1.3013568000000001e-06,-62.1288797
65,1.301378e-06,-62.4694685
66,1.3013992e-06,-60.8555744
67,1.3014204e-06,-59.465529
68,1.3014416e-06,-57.6595061
69,1.3014628000000001e-06,-54.612445
70,1.3014840000000001e-06,-51.3093228
71,1.3015052e-06,-47.8942736
72,1.3015264e-06,-45.1608095
73,1.3015476e-06,-43.9472568
74,1.3015688e-06,-44.311483
75,1.30159e-06,-46.2538869
76,1.3016112000000001e-06,-49.3572037
77,1.3016324e-06,-52.8307291
78,1.3016536e-06,-55.6286221
79,1.3016748e-06,-57.5982166
80,1.301696e-06,-59.4871948
81,1.3017172e-06,-61.2494465
82,1.3017384000000001e-06,-63.3085406
83,1.3017596e-06,-62.5760051
84,1.3017808e-06,-62.4025849
85,1.301802e-06,-65.055534
86,1.3018232e-06,-68.4772279
87,1.3018444e-06,-63.7371241
88,1.3018656000000001e-06,-65.2159748
